INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881732752-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881732773-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881733878-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881733883-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881734989-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881734991-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881736097-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881736100-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881737207-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881737223-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881738340-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881738346-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881739454-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881739456-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881740563-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881740565-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881741671-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881741673-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881742778-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881742779-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881743885-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881743887-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881744992-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881744993-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881746100-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881746101-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881747206-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881747235-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881748339-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881748341-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881749445-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881749446-0
